file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP3,0.0,30.7068125,speaker1,-46.531112626180395,-46.857692042062446,4.451699989432614,10.391513997127106
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,speaker1,-43.770221354166665,-53.56765864445613,3.8679425530287452,11.443148868500742
F2BJRLP1,0.0,25.309125,speaker1,-45.820346453970764,-45.88395539834081,3.7727068024287895,8.171336574209546
F2BJRLP2,0.0,28.6474375,speaker1,-45.74252017888307,-45.74383070880505,3.561935412226064,7.983564690353116
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,speaker1,-43.28669794188862,-52.370280045729416,2.7052057720024796,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,speaker1,-44.81046129993557,-50.90567557017008,2.549560355308706,12.358243745435463
