file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP3,0.0,30.7068125,speaker1,-46.556938904265714,-46.874858806299606,4.333498442939949,10.291364549007966
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,speaker1,-43.81635850694445,-53.55415813739483,3.8605661398656492,11.443148868500742
F2BJRLP1,0.0,25.309125,speaker1,-45.8200192611616,-45.88366872862676,3.7727068024287895,8.171336574209546
F2BJRLP2,0.0,28.6474375,speaker1,-45.74721585951134,-45.753676274700354,3.561935412226064,7.983564690353116
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,speaker1,-43.23515530417676,-52.349117279052734,2.7009293166243618,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,speaker1,-44.83297760953608,-50.931867917378746,2.549560355308706,12.358243745435463
